Word,Concrete_rating
aback,1.65
abacus,4.52
abdicate,2.08
abdomen,4.7
abdominal,4.28
abhor,1.81
abide,1.68
ability,1.81
abject,1.67
ablaze,3.82
able,2.38
ably,1.78
abnormal,2.14
abode,3.92
abolish,2.19
abolition,2.43
abominably,2.14
abomination,2.23
abortive,1.88
abound,2.27
abrasion,4.57
abreast,2.23
abridged,1.77
abrupt,2.27
abruptly,2.36
abruptness,2.04
abscess,4.48
absence,2.31
absinthe,4.3
absolutely,1.97
absolve,1.85
abstain,2.38
abstention,2.16
abstractly,1.36
absurdity,1.25
absurdly,1.55
abundance,2.21
abundantly,2.22
accelerator,4.32
acceptance,2.21
accessible,1.8
accessory,4.1
accidentally,1.71
acclaim,2.04
acclimate,1.79
accolade,2.46
accommodate,1.86
accomplish,2.33
accord,1.57
according,1.63
accordion,4.86
accountancy,1.68
accountant,4.41
accredited,2.27
accrue,1.61
accuracy,1.85
accurate,1.9
accursed,1.93
accuse,2.25
accustom,1.48
acetylene,3.58
achievable,2.07
achieve,2.29
acknowledge,2.03
acorn,4.96
acquaint,1.52
acquiesce,2.21
acquit,2.13
acquittal,2.38
acrobatics,4.36
act,2.46
actionable,2.04
activation,2.41
actively,2.41
activism,1.79
actuality,1.96
actually,1.37
actuarial,2.33
acupuncture,3.83
acutely,1.83
acuteness,2.41
adage,1.86
adamant,1.65
adamantly,1.46
adapt,2.41
adaptable,1.85
adaptation,2.04
adapter,3.82
addictive,2.22
additional,2.43
additive,3.56
adequacy,1.86
adequate,1.97
adequately,1.72
adherence,1.5
adhesive,4.35
adjacent,3.63
adjective,2.43
adjudicate,2.12
adjudication,2.35
adjunct,2.19
administrator,3.89
admirably,1.5
admiral,4.11
admire,2.04
admissible,1.88
admit,2.32
admittance,2.26
admittedly,1.54
adobe,4.19
adopt,2.36
adopted,2.39
adoptive,2
adorable,1.86
adorably,1.96
adoration,2.19
adore,2.34
adorn,2.38
adulteress,3.72
advancement,2.1
advantage,2
advent,2.48
adventurer,3.73
adventurous,1.95
adverb,2.25
adverse,2.23
adversity,1.44
advertisement,3.77
advertiser,3.93
advertising,3.88
advisable,1.93
advise,2.03
advised,2.45
advisedly,1.58
adviser,3.67
advisor,4.15
advocacy,2
aerosol,4.23
aesthetic,2.33
affable,1.7
affair,2.45
affect,1.93
affected,1.93
affection,2.22
affidavit,4
affirm,1.96
affirmation,2.12
affix,2.44
afflict,2.14
affliction,2.27
affluence,2.15
affluent,1.83
afford,1.83
affront,1.83
affronted,2.04
aflame,3.77
afoot,2.48
afro,4.52
afterbirth,4.57
afterlife,1.9
aftermath,1.97
afternoon,3.7
aftershave,4.56
ageless,2.03
agency,3.87
aggravate,2.26
aggravating,1.86
aghast,1.96
agility,2.38
agitation,2.33
aglow,2.29
ago,1.42
agonize,1.97
agony,2.38
agree,2.31
agreeable,2.07
agreeing,2.48
agreement,2.22
agriculture,3.67
ahoy,2
aides,3.75
aimless,1.57
aimlessly,1.86
airbase,4.29
aircraft,4.4
aircraftsman,4
aircrew,4.04
airfield,4.7
airflow,3.59
airlift,3.62
airliner,4.45
airman,4.25
airplane,4.96
airport,4.87
airspace,3.58
airstrip,4.68
airway,4.34
airy,2.04
aisle,4.35
akin,1.71
alabaster,3.81
alarm,4.47
albacore,3.71
albatross,4.81
albino,4.41
alchemist,4.23
alchemy,2.1
alcohol,4.76
alehouse,4.4
alertly,2.07
alfalfa,4.69
algae,4.93
alienate,1.83
alike,2.38
allegation,1.79
allege,1.76
allegedly,1.64
allegiance,1.77
allegorical,1.52
allegory,2.07
allergen,3.93
allergy,3.68
alleyway,4.3
alligator,4.96
alliteration,2.25
allocate,2.38
allow,2.41
allspice,4.54
allure,1.92
allusion,1.58
almanac,4.44
almond,4.71
almost,1.66
aloof,1.46
alpaca,4.81
alphabet,4.31
alphabetically,3.74
alright,1.93
also,1.83
altarpiece,4.54
alternate,2.43
alternately,2.03
alternator,4.27
altogether,2.36
altruism,1.5
amass,2.28
amaze,2
amazed,1.52
amazement,1.89
amazingly,1.58
ambassador,4.28
ambiance,2.31
ambidextrous,3.63
ambience,1.72
ambient,2.04
ambiguity,1.3
ambiguous,1.48
ambition,1.74
ambitious,1.81
ambulance,4.81
amenable,1.86
amend,2.32
amendment,2.44
amends,1.92
amethyst,4.09
amiable,2.39
amicable,1.74
amicably,2.11
ammonia,4.44
ammonium,4.04
ammunition,4.88
amnesty,2.18
amok,2
amoral,1.46
amorality,1.64
amphetamine,4.18
amphibian,3.77
amphibious,3.64
amphitheater,4.36
amplifier,4.79
amply,2
amputate,3.9
amputation,3.76
amulet,4
amusedly,2
amusement,2.07
anaconda,4.93
anagram,3.63
analgesic,3.57
analogous,1.58
analogy,1.61
analyst,4.23
analytic,1.8
analytical,1.86
analyze,2.3
anarchism,1.92
anarchy,2.12
anatomic,2.44
anatomist,3.59
ancestral,1.96
anchor,4.77
anchored,3.72
anchorman,4.72
anchovy,4.96
anesthetic,3.93
anew,1.72
angelic,2.22
angelically,2.23
anger,2.41
angers,2.27
angler,4.14
angst,1.96
anguish,2.38
animosity,2.11
anklet,4.75
annex,4
announcer,4.52
annoy,1.93
annoyance,2.14
annul,2.28
annulment,2.25
annunciation,2
anomaly,1.79
anonymity,1.88
answerable,1.93
ant,4.86
antagonism,2.33
antagonize,2.43
anteater,4.86
antelope,5
antenna,4.75
antennae,4.85
anthill,4.89
anthrax,4.44
anthropologist,4
antibiotics,4.45
anticipate,1.54
anticlimax,1.81
antifreeze,4.54
antihistamine,3.68
antimatter,1.77
antiques,4.22
antiquity,2.13
antiseptic,3.85
antiseptics,3.96
antislavery,2.26
antisocial,1.86
anus,4.86
anxiety,2.21
anxious,1.68
anxiously,2.08
anyhow,1.48
anymore,2.04
anyplace,2.43
apartment,4.9
apartments,4.71
apathetic,1.62
apathy,2.04
apocalypse,2.21
apocalyptic,1.83
apologetic,1.88
apostrophe,3.88
apothecary,3.76
appallingly,2.11
apparatus,3.78
apparel,4.6
apparent,1.73
apparently,1.75
apparition,2.46
appeal,1.73
appease,1.93
appendage,4.26
appendectomy,4.42
appetizer,4.71
applaud,3.8
applause,4.29
apple,5
appliance,4.57
applicable,2.3
applicant,4
applicator,4.26
appoint,2.24
appraise,1.73
appraiser,3.62
appraising,1.83
appreciably,1.69
appreciative,1.93
apprentice,3.67
apprise,1.78
approval,2.33
approve,1.85
apricot,4.97
apron,4.87
apt,1.78
aptitude,1.54
aptly,1.66
aquarium,4.77
aqueduct,4.62
arachnid,4.65
arbitrary,1.62
arbitrate,2.1
archaeologist,4.45
archaic,2.23
archbishop,4.14
archdeacon,4
archduke,3.93
archery,3.93
arches,4.3
archipelago,3.96
architect,3.74
architecture,3.59
archives,3.93
archivist,3.57
ardent,1.64
ardently,1.66
are,1.96
arguably,1.79
arisen,2.15
aristocrat,3.76
armada,4.04
armadillo,4.9
armband,4.67
armless,3.71
armoire,4.52
armory,4.36
armpit,4.8
arose,2.19
arraign,2.42
arrogance,1.74
arrogant,2.07
arrowhead,4.7
arsenic,4.29
arson,3.66
art,4.17
artery,4.48
artful,2.42
artfully,1.81
artichoke,4.63
article,4.33
artifact,4.5
artificially,1.81
artillery,4.31
artist,4.24
artistic,2.14
artistically,2.13
artistry,2
artless,1.89
asbestos,4.52
ascension,2.37
ascertain,2.11
ascribe,2.44
aseptic,2.07
asexual,2.43
ashcan,4.78
aside,2.21
asinine,1.67
asparagus,4.96
aspect,1.82
asphalt,4.83
asphyxiate,3.74
asphyxiation,3.63
aspiration,1.81
aspire,1.53
assailant,3.96
assassin,4.43
assassination,3.8
assaying,2.39
assembly,3.79
assemblyman,3.74
assert,2.03
assertion,2.2
assertive,2.07
assess,2.26
assessed,2
assessment,2.11
asshole,4.08
assigned,1.75
assignment,3.86
assimilate,2.17
assistance,2.25
assume,1.75
assumed,1.86
assuming,1.5
assumption,1.84
assurance,1.76
assure,2.43
assured,2.21
assuredly,1.82
assuring,1.62
asterisk,4
asteroid,4.86
asthma,3.71
astonish,1.7
astound,1.93
astounded,1.71
astral,2.26
astrologer,3.78
astrology,2.48
astronaut,4.75
astronomer,4.27
astrophysicist,4.07
astute,1.85
atheism,2.23
athletics,3.65
atlas,4.79
atomize,2.24
atomizer,4.04
atone,1.88
atonement,1.44
atrocious,1.69
atrocity,2.15
attain,2.18
attempt,2.22
attendant,4.44
attention,2.3
attentive,1.78
attest,1.89
attic,4.53
attire,4.47
attitude,1.97
attributable,1.81
attribute,2.33
atypical,1.93
auctioneer,4.55
audacious,1.63
audacity,1.62
audience,4.29
audition,3.66
auditorium,4.7
augmented,2.46
auspices,1.86
auspicious,1.96
austere,1.96
authentic,2.31
authenticity,1.74
author,4.26
authorize,2.22
authorized,2.22
autobiography,3.74
autocracy,2.23
autograph,4.23
autographed,3.83
automation,2.48
automobile,4.96
automotive,4.19
autonomous,2
autonomy,2.04
avail,1.33
avalanche,4.32
avenge,2.07
avenue,4
aversion,1.85
avert,2.41
averted,2.03
aviator,4.57
avidly,1.88
avoid,2.41
avoidable,1.79
avoidance,1.86
avowed,1.83
await,1.54
awareness,1.84
awash,2.08
awe,1.89
awesome,1.83
awestruck,2.03
awful,1.92
awfully,1.67
awfulness,2.2
awhile,1.54
awkward,2
awkwardly,1.84
awning,4.61
awry,2.1
axe,5
axes,4.68
axiom,2
azalea,4.4
baby,5
bachelor,4.32
backache,4
backbend,3.92
backboard,4.93
backbone,4.19
backdoor,4.5
backdrop,4.48
backed,2.43
backgammon,4.47
backless,3.74
backpack,4.96
backpedal,3.81
backroom,4.5
backscratcher,4.58
backside,4.07
backstage,4.31
backstroke,4.46
backwash,3.76
bacterium,3.69
badger,4.37
badly,1.93
badminton,4.7
badness,2.26
baffle,2.37
baffled,2.16
bagful,3.62
bagged,3.77
bagpipe,4.97
bagpipes,4.93
bailiff,4.5
baits,3.62
baking,4.1
baklava,4.32
balcony,4.68
baldness,3.96
ballad,3.88
ballerina,4.61
balloon,4.92
balloonist,4.5
ballplayer,4.68
ballroom,4.7
balsam,4.21
ban,2.37
bandage,4.85
bandmaster,4.25
bandstand,4.19
baneful,1.83
bangle,4.38
banish,2.41
banishment,2.16
banister,4.75
bankbook,4.81
banknote,4.88
bankroll,3.75
banner,4.8
banning,2.28
banquet,4
barb,4.52
barbarism,2.41
barbarous,1.63
barbecue,4.52
barefooted,4.33
bareheaded,3.77
barely,1.71
baritone,3.67
barkeep,4.22
barman,4.46
barnacle,4.92
barnyard,4.79
barometer,4.57
barrack,4.78
barracuda,5
barrenness,2.47
barrette,4.12
barricade,4.57
